"Date","Transaction","Name","Memo","Amount"
"2025-10-03","CREDIT","TRANSFER FROM XXXX","Download from usbank.com.","700.00"
"2025-10-06","CREDIT","PET INSURANCE","Download from usbank.com.0832","96.08"
"2025-10-06","DEBIT","PAY HOA","Download from usbank.com.","-79.95"
"2025-10-07","CREDIT","PET INSURANCE REFUND","Download from usbank.com.0832","31.40"
"2025-10-07","DEBIT","ELECTRONIC WITHDRAWAL INTERNET","Download from usbank.com.","-69.00"
"2025-10-14","DEBIT","ELECTRONIC WITHDRAWAL MORTGAGE","Download from usbank.com.","-771.02"
"2025-10-14","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-6.95"
"2025-10-14","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","6.95"
"2025-10-15","DEBIT","CREDIT CARD PAYMENT","Download from usbank.com.","-1000.00"
"2025-10-16","DEBIT","CREDIT CARD PAYMENT","Download from usbank.com.","-500.00"
"2025-10-20","DEBIT","WEB AUTHORIZED PMT CHASE CREDIT CRD","Download from usbank.com.","-500.00"
"2025-10-20","167","CHECK","Download from usbank.com.","-60.00"
"2025-10-27","CREDIT","TRANSFER FROM XXXX","Download from usbank.com.","5000.00"
